Citizen_ID,Diet_Type,District_Name,Occupation,Wealth_Index,House_Size_sq_ft,Life_Expectancy,Vehicle_Owned,Work_District,Bio_Hash
CIT_15935,Exotic Imports,Coral Slums,Scribe,1491.0,100.0,42.0,Fin Bicycle,Mariana Plaza,b81cb8ce
CIT_11623,Seafood,Coral Slums,Fisher,1596.0,100.0,49.0,Sea Scooter,Deep Trench,72f48eef
CIT_8026,Seafood,Mariana Plaza,Warrior,3921.0,533.0,37.0,Sea Scooter,Deep Trench,0abde296
CIT_0492,Exotic Imports,Deep Trench,Fisher,,136.0,38.0,Fin Bicycle,Deep Trench,8055fc9e
CIT_0275,Seaweed,Deep Trench,Warrior,25985.0,2673.0,54.0,Sea Scooter,Deep Trench,c77829e2
CIT_7475,Seaweed,Mariana Plaza,Warrior,6173.0,911.0,47.0,Sea Scooter,Deep Trench,e4023d89
CIT_17545,Exotic Imports,Coral Slums,Scribe,1506.0,100.0,51.0,No Vehicle,Mariana Plaza,6eabb698
CIT_5234,Exotic Imports,The Golden Reef,Warrior,19054.0,4314.0,47.0,Submarine,Coral Slums,ada3f024
CIT_10281,Seafood,Coral Slums,Miner,1890.0,,45.0,Sea Scooter,Coral Slums,7b32810b
CIT_14760,Seafood,The Golden Reef,Miner,2597.0,,43.0,Fin Bicycle,Coral Slums,addf2367
CIT_13897,Exotic Imports,Coral Slums,Fisher,1349.0,100.0,40.0,Submarine,Deep Trench,a24790a4
CIT_10202,Seafood,Coral Slums,Miner,1292.0,100.0,52.0,No Vehicle,Coral Slums,891ade3a
CIT_13433,Exotic Imports,Coral Slums,Scribe,13252.0,818.0,44.0,Submarine,The Golden Reef,2a956788
CIT_15225,Seaweed,Coral Slums,Miner,2129.0,125.0,52.0,Fin Bicycle,Deep Trench,c4a7d7a9
CIT_18614,Seafood,Mariana Plaza,Scribe,8135.0,,62.0,No Vehicle,Mariana Plaza,4e3fe375
CIT_1733,Seaweed,Coral Slums,Fisher,1110.0,100.0,50.0,Sea Scooter,Mariana Plaza,1a08697b
CIT_1406,Seafood,Deep Trench,Fisher,3116.0,331.0,40.0,Fin Bicycle,Deep Trench,d25c9f48
CIT_17232,Seafood,Deep Trench,Miner,3024.0,359.0,40.0,No Vehicle,Coral Slums,1061cd15
CIT_16772,Seaweed,Deep Trench,Fisher,1466.0,,41.0,No Vehicle,Deep Trench,fdd4f573
CIT_2957,Seaweed,Coral Slums,Fisher,,178.0,49.0,No Vehicle,Deep Trench,23549afc
CIT_6528,Seaweed,Coral Slums,Miner,1375.0,100.0,51.0,Sea Scooter,Deep Trench,77311ebd
CIT_8117,Seafood,Mariana Plaza,Fisher,4966.0,729.0,41.0,Sea Scooter,Coral Slums,4df91bb7
CIT_2157,Seafood,The Golden Reef,Miner,6657.0,1491.0,48.0,Sea Scooter,Mariana Plaza,89b4fcce
CIT_8570,Seafood,The Golden Reef,Scribe,11137.0,2539.0,71.0,Sea Scooter,Mariana Plaza,e0fc138e
CIT_19196,Seafood,The Golden Reef,Miner,53282.0,10000.0,98.0,Fin Bicycle,Coral Slums,cd3c8553
CIT_0604,Exotic Imports,The Golden Reef,Warrior,1747.0,372.0,29.0,Fin Bicycle,Coral Slums,51d7349d
CIT_3717,Exotic Imports,Coral Slums,Fisher,4916.0,,38.0,Fin Bicycle,Coral Slums,c4223987
CIT_12449,Seaweed,The Golden Reef,Fisher,2008.0,393.0,55.0,Sea Scooter,Coral Slums,1bc26fd7
CIT_11357,Exotic Imports,The Golden Reef,Merchant,7195.0,1611.0,55.0,Submarine,The Golden Reef,70bc305a
CIT_8801,Seaweed,Mariana Plaza,Warrior,64022.0,9607.0,93.0,No Vehicle,Deep Trench,1c3293ca
CIT_9120,Seaweed,Coral Slums,Fisher,2230.0,123.0,47.0,Sea Scooter,Deep Trench,e04a3561
CIT_3751,Exotic Imports,Deep Trench,Warrior,3192.0,307.0,23.0,Fin Bicycle,Deep Trench,8fccc09b
CIT_14551,Seaweed,The Golden Reef,Merchant,8076.0,1722.0,69.0,Submarine,Mariana Plaza,54f9f489
CIT_6736,Seaweed,Deep Trench,Fisher,1863.0,164.0,41.0,Fin Bicycle,Mariana Plaza,94789e01
CIT_18424,Seafood,Mariana Plaza,Warrior,5011.0,795.0,45.0,Sea Scooter,Deep Trench,f430ae94
CIT_9915,Exotic Imports,Deep Trench,Merchant,2371.0,266.0,48.0,No Vehicle,Mariana Plaza,47d09bc5
CIT_16097,Seaweed,Coral Slums,Miner,5802.0,331.0,56.0,No Vehicle,Coral Slums,e80f17b0
CIT_16120,Seafood,The Golden Reef,Miner,15980.0,3598.0,52.0,Submarine,Coral Slums,7bcdc3a2
CIT_3244,Exotic Imports,Mariana Plaza,Scribe,1918.0,300.0,49.0,Fin Bicycle,Mariana Plaza,e408032c
CIT_6536,Seafood,The Golden Reef,Merchant,66593.0,10000.0,109.0,Sea Scooter,The Golden Reef,61ed01e0
CIT_4091,Exotic Imports,Deep Trench,Miner,3894.0,403.0,41.0,Sea Scooter,Coral Slums,e061ae65
CIT_9426,Seafood,Mariana Plaza,Scribe,9263.0,1358.0,57.0,Submarine,Deep Trench,a9ef5b32
CIT_10829,Seaweed,Deep Trench,Miner,2531.0,294.0,54.0,Fin Bicycle,Deep Trench,3a873a71
CIT_5165,Seaweed,The Golden Reef,Warrior,1627.0,396.0,42.0,No Vehicle,Coral Slums,06caeded
CIT_1773,Seaweed,Coral Slums,Merchant,8538.0,514.0,65.0,No Vehicle,The Golden Reef,cc160d53
CIT_5756,Exotic Imports,The Golden Reef,Fisher,2381.0,,36.0,Sea Scooter,Coral Slums,8bb5c767
CIT_12903,Exotic Imports,The Golden Reef,Miner,2776.0,,38.0,Sea Scooter,The Golden Reef,c25d6166
CIT_3025,Seafood,The Golden Reef,Merchant,,10000.0,101.0,No Vehicle,The Golden Reef,f736e851
CIT_8367,Seafood,Mariana Plaza,Miner,6397.0,983.0,50.0,No Vehicle,Coral Slums,85812d32
CIT_3220,Seafood,The Golden Reef,Merchant,57368.0,10000.0,105.0,Sea Scooter,The Golden Reef,addf43b7
CIT_1076,Seafood,The Golden Reef,Fisher,4754.0,1119.0,47.0,No Vehicle,Deep Trench,97105a06
CIT_1203,Seaweed,Mariana Plaza,Warrior,11573.0,1705.0,55.0,Fin Bicycle,Deep Trench,41c433db
CIT_15721,Seafood,The Golden Reef,Merchant,14086.0,3153.0,75.0,Submarine,The Golden Reef,5f78d15c
CIT_17979,Seafood,Mariana Plaza,Fisher,7257.0,1079.0,51.0,No Vehicle,Coral Slums,6c7e2caa
CIT_9625,Seaweed,The Golden Reef,Merchant,6931.0,1711.0,75.0,No Vehicle,The Golden Reef,bb2a2cd3
CIT_1627,Seafood,Deep Trench,Scribe,25375.0,2650.0,60.0,Sea Scooter,Coral Slums,f6b44368
